Freq.	V(vin)/I(R1)
4.07380277804110e+005	(7.42940317353469e+001dB,-1.73992954244994e+002°)
4.16869383470332e+005	(7.43008679853061e+001dB,-1.74135999337429e+002°)
4.26579518801589e+005	(7.43073695812708e+001dB,-1.74276612199982e+002°)
4.36515832240163e+005	(7.43135480231458e+001dB,-1.74414815353383e+002°)
4.46683592150960e+005	(7.43194143781327e+001dB,-1.74550632584140e+002°)
4.57088189614872e+005	(7.43249792892100e+001dB,-1.74684088789147e+002°)
4.67735141287195e+005	(7.43302529842116e+001dB,-1.74815209827857e+002°)
4.78630092322635e+005	(7.43352452854375e+001dB,-1.74944022381809e+002°)
4.89778819368442e+005	(7.43399656197389e+001dB,-1.75070553821314e+002°)
5.01187233627268e+005	(7.43444230290278e+001dB,-1.75194832079060e+002°)
5.12861383991361e+005	(7.43486261811608e+001dB,-1.75316885530454e+002°)
5.24807460249768e+005	(7.43525833811585e+001dB,-1.75436742880481e+002°)
5.37031796370248e+005	(7.43563025827205e+001dB,-1.75554433056895e+002°)
5.49540873857620e+005	(7.43597914000048e+001dB,-1.75669985109538e+002°)
5.62341325190345e+005	(7.43630571196404e+001dB,-1.75783428115646e+002°)
5.75439937337152e+005	(7.43661067129474e+001dB,-1.75894791090944e+002°)
5.88843655355584e+005	(7.43689468483411e+001dB,-1.76004102906412e+002°)
6.02559586074353e+005	(7.43715839038982e+001dB,-1.76111392210589e+002°)
6.16595001861477e+005	(7.43740239800668e+001dB,-1.76216687357278e+002°)
6.30957344480188e+005	(7.43762729125006e+001dB,-1.76320016338595e+002°)
6.45654229034650e+005	(7.43783362850019e+001dB,-1.76421406723241e+002°)
6.60693448007591e+005	(7.43802194425557e+001dB,-1.76520885599966e+002°)
6.76082975391976e+005	(7.43819275044393e+001dB,-1.76618479526161e+002°)
6.91830970918931e+005	(7.43834653773901e+001dB,-1.76714214481550e+002°)
7.07945784384132e+005	(7.43848377688135e+001dB,-1.76808115826972e+002°)
7.24435960074984e+005	(7.43860492000135e+001dB,-1.76900208268236e+002°)
7.41310241300911e+005	(7.43871040194237e+001dB,-1.76990515825073e+002°)
7.58577575029177e+005	(7.43880064158176e+001dB,-1.77079061805187e+002°)
7.76247116628685e+005	(7.43887604314731e+001dB,-1.77165868783441e+002°)
7.94328234724275e+005	(7.43893699752628e+001dB,-1.77250958586192e+002°)
8.12830516164092e+005	(7.43898388356413e+001dB,-1.77334352280822e+002°)
8.31763771102664e+005	(7.43901706934955e+001dB,-1.77416070170471e+002°)
8.51138038202369e+005	(7.43903691348208e+001dB,-1.77496131794011e+002°)
8.70963589956073e+005	(7.43904376631850e+001dB,-1.77574555931261e+002°)
8.91250938133738e+005	(7.43903797119346e+001dB,-1.77651360613442e+002°)
9.12010839355902e+005	(7.43901986561001e+001dB,-1.77726563138862e+002°)
9.33254300796983e+005	(7.43898978239484e+001dB,-1.77800180093768e+002°)
9.54992586021428e+005	(7.43894805081330e+001dB,-1.77872227378325e+002°)
9.77237220955802e+005	(7.43889499763859e+001dB,-1.77942720237596e+002°)
1.00000000000000e+006	(7.43883094816964e+001dB,-1.78011673297417e+002°)
